signal,config,hold,th_long,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
breadth_ew_resid_cw,h5_L0.7_LO_sc,5,0.7,True,-0.3832546503976495,-13.064786022549335,-0.3849752384820715,0.14,-48.050423039860235,985,9.85
deficit_resid_cw,h5_L0.7_LO_sc,5,0.7,True,-0.3934782769017148,-13.40283300619792,-0.39431357954545776,0.13,-49.71063844593004,1063,10.63
bot200_resid_cw,h5_L0.7_LO_sc,5,0.7,True,-0.40931897981091003,-14.11812517409646,-0.4113821239156181,0.1,-52.34411403877751,1017,10.17
top30_breadth_resid,h5_L0.7_LO_sc,5,0.7,True,-0.38889144455250957,-14.354262060345715,-0.39452960159097605,0.13,-48.986558309437896,1087,10.87
deficit_resid_cw,h5_L0.5_LO_sc,5,0.5,True,-0.4227993873298732,-14.552706509977785,-0.4258004746800096,0.08,-54.63601938917285,967,9.67
intensity_ew_resid,h8_L1.0_LO_1x,8,1.0,False,-0.3209528190039551,-14.595407368357492,-0.3282210685964754,0.15,-38.54753285267492,954,9.54
breadth_resid_cw,h5_L0.7_LO_sc,5,0.7,True,-0.414563898496064,-14.823727233315092,-0.40703820826876724,0.12,-53.24093969762812,978,9.78
top30_resid_cw,h5_L0.5_LO_sc,5,0.5,True,-0.41510128281070335,-15.372538285926677,-0.412343712781736,0.11,-53.34289444132549,1066,10.66
breadth_deficit,h3_L0.5_LO_sc,3,0.5,True,-0.41619924741671355,-15.678010594332404,-0.42025036424277007,0.08,-53.53466778938193,1261,12.61
spread_resid_cw,h5_L0.7_LO_sc,5,0.7,True,-0.4138216844399879,-15.873838624873944,-0.414503209025629,0.11,-53.13545425663675,1034,10.34
spread_resid_cw,h5_L0.5_LO_sc,5,0.5,True,-0.4301377166867463,-16.215149172944557,-0.4299960414350834,0.08,-55.93479270297611,999,9.99
spread_resid_cw,h3_L0.5_LO_sc,3,0.5,True,-0.409726644421327,-16.3098331334243,-0.41339720980800987,0.09,-52.45348099674875,1357,13.57
bot200_resid_cw,h8_L1.0_LO_1x,8,1.0,False,-0.33491636047217777,-16.39494630086894,-0.33744608434982404,0.12,-40.62693033114762,1000,10.0
breadth_cw_resid_ew,h5_L0.7_LO_sc,5,0.7,True,-0.41660299799645295,-16.721659624001354,-0.4100091871947916,0.12,-53.61954242974591,1044,10.44
bot200_resid_cw,h3_L0.5_LO_sc,3,0.5,True,-0.43876533379170335,-16.988822575103047,-0.43641423497473997,0.1,-57.45664761040386,1167,11.67
top30_resid_cw,h5_L0.7_LO_sc,5,0.7,True,-0.4089166634326057,-17.036220172289998,-0.41131327306956755,0.14,-52.32768052207966,1076,10.76
breadth_spread,h3_L0.5_LO_sc,3,0.5,True,-0.4288554671290422,-17.074053739365485,-0.4303626981036712,0.07,-55.72643754476316,1260,12.6
breadth_ew_resid_cw,h3_L0.5_LO_sc,3,0.5,True,-0.4280639328490462,-17.272298103411213,-0.4316445646428395,0.08,-55.59202932383403,1252,12.52
breadth_resid_ew,h8_L1.0_LO_1x,8,1.0,False,-0.33863614678044407,-18.000586046507575,-0.34236735357499337,0.14,-41.196401436350754,1032,10.32
deficit_resid_cw,h3_L0.5_LO_sc,3,0.5,True,-0.4284458466333787,-18.574623948402817,-0.4342801706330338,0.07,-55.67540448271816,1251,12.51
intensity_ew_resid,h8_L0.5_LO_1x,8,0.5,False,-0.3633821591852914,-19.353957136820636,-0.36697572629808717,0.09,-44.99155107999397,1151,11.51
breadth_resid_ew,h3_L0.5_LO_sc,3,0.5,True,-0.4212752195501491,-19.651509790934938,-0.41788633650163853,0.07,-54.451067067842985,1234,12.34
bot200_resid_cw,h8_L0.7_LO_1x,8,0.7,False,-0.35889118520958097,-19.69548618922298,-0.36048104792654656,0.1,-44.29581664937566,1064,10.64
neg_breadth_resid,h8_L1.0_LO_1x,8,1.0,False,-0.3353127049393031,-19.720143722559914,-0.33162484260555825,0.14,-40.70889618748766,801,8.01
intensity_ew_resid,h3_L0.5_LO_sc,3,0.5,True,-0.4398617682347281,-19.827772266247862,-0.4455553789128226,0.05,-57.68757813027568,1137,11.37
intensity_ew_resid,h8_L0.7_LO_1x,8,0.7,False,-0.36068731641741913,-20.065132563293567,-0.362893276065684,0.1,-44.57660980848013,1112,11.12
top30_resid_cw,h3_L0.5_LO_sc,3,0.5,True,-0.42820403190266587,-20.25275233899841,-0.42779428639695327,0.03,-55.6508599861823,1077,10.77
spread_resid_cw,h8_L1.0_LO_1x,8,1.0,False,-0.3638683956258344,-21.056709205431112,-0.365730216896193,0.07,-45.07745082401531,1009,10.09
breadth_ew_resid_cw,h8_L1.0_LO_1x,8,1.0,False,-0.35396732365775607,-21.558208793640702,-0.3516425683496692,0.09,-43.545816798179565,1008,10.08
breadth_top30,h8_L1.0_LO_1x,8,1.0,False,-0.35392799665499,-21.576809141747855,-0.34974771610785305,0.11,-43.53982816396588,1079,10.79
