label,hold,th_long_mult,th_short_mult,scaled,ret,ann,sharpe,dd,wr,avg_bps,trades,trades_per_day
h3_L1.5_S2.0_1x,3,1.5,2.0,False,0.03931301023221878,0.09780751791192976,2.127607289020338,-0.008920950684365492,0.17,3.8968492812373334,61,0.61
h2_L1.5_S1.5_sc,2,1.5,1.5,True,0.05804433298946976,0.1463028027441906,2.090776189245561,-0.012552334840023716,0.23,5.7335440279745455,107,1.07
h5_L1.5_S1.5_sc,5,1.5,1.5,True,0.10879672777267357,0.28393099793914756,1.9909623304579933,-0.023648303922117142,0.22,10.671812011619648,94,0.94
h5_L1.5_S1.5_1x,5,1.5,1.5,False,0.07563258020992936,0.19296239737077747,1.739944771490479,-0.024043321408988905,0.22,7.514295286448182,94,0.94
h2_L1.5_S1.5_1x,2,1.5,1.5,False,0.03746350656611819,0.09308578444553572,1.6723604239628032,-0.0113539457854539,0.23,3.7382033536343333,107,1.07
h8_L1.5_S1.5_sc,8,1.5,1.5,True,0.13064470824064633,0.3460131220186504,1.606353400159439,-0.035068344314583166,0.23,13.05653772637761,87,0.87
h8_L1.5_S1.5_1x,8,1.5,1.5,False,0.0948113263421908,0.24509090807237688,1.5907108467685185,-0.026880740042084628,0.23,9.478707785120442,87,0.87
h3_L1.5_S1.5_sc,3,1.5,1.5,True,0.03881001971314402,0.09652221421643792,1.420645621448028,-0.018072290446024764,0.22,3.898313257466183,104,1.04
h1_L1.5_LO_sc,1,1.5,999.0,True,0.024794575814104824,0.061062826574323825,1.3959458612387345,-0.016128149980527695,0.17,2.487711622811102,64,0.64
h1_L1.5_LO_1x,1,1.5,999.0,False,0.015439958791328756,0.03777518940077629,1.367292752085619,-0.009198612298877973,0.17,1.5477393353155064,64,0.64
h1_L1.5_S2.0_sc,1,1.5,2.0,True,0.022330147987616566,0.05489838345702247,1.2553633595523006,-0.016128149980527584,0.17,2.2472314441829515,65,0.65
h3_L1.5_S1.5_1x,3,1.5,1.5,False,0.027633613680337676,0.06819044691445142,1.2002241164166267,-0.019485507365420873,0.22,2.790870678030231,104,1.04
h2_L2.0_S1.5_sc,2,2.0,1.5,True,0.01686875811931121,0.04131246889319695,1.1963721075146645,-0.015392051186938205,0.13,1.697128823730162,53,0.53
h1_L1.5_S2.0_1x,1,1.5,2.0,False,0.013462695752070264,0.03289172326944656,1.1869660667851216,-0.009198612298878639,0.17,1.3530194976589363,65,0.65
h2_L1.0_S1.0_sc,2,1.0,1.0,True,0.053957397810293406,0.13561676887099305,0.8071849987656953,-0.06642258438220972,0.37,5.88280935031271,1308,13.08
h1_L1.5_S1.5_sc,1,1.5,1.5,True,0.013172066082250966,0.0321750620339436,0.6643786425789892,-0.018745657474130595,0.18,1.3589494738743937,122,1.22
h2_L2.0_S1.5_1x,2,2.0,1.5,False,0.005741260677923243,0.013950531760820617,0.6591976599970846,-0.013264676070097403,0.13,0.5819113050491808,53,0.53
h5_L2.0_S1.5_sc,5,2.0,1.5,True,0.007391364425774594,0.01798106810448541,0.28683040517590147,-0.02548160286867618,0.11,0.8384095508372165,45,0.45
h1_L1.5_S1.5_1x,1,1.5,1.5,False,0.0036726347874207477,0.008910963600104349,0.28141246674121634,-0.011846040594162721,0.17,0.38965299544601223,123,1.23
h1_L0.5_S1.0_1x,1,0.5,1.0,False,-0.0011296789163794951,-0.0027316306015383596,0.04240709657403531,-0.0879103251446437,0.35,0.22511735248667997,3186,31.86
h3_L1.0_S1.0_sc,3,1.0,1.0,True,-0.009990366411293805,-0.024005437806535412,-0.04571504305374063,-0.06181388683244193,0.37,-0.34186014592515235,1049,10.49
h5_L2.0_S1.5_1x,5,2.0,1.5,False,-0.005597626579575854,-0.01349246145931049,-0.25320181265642633,-0.023798502389366538,0.11,-0.5121418833150321,45,0.45
h1_L2.0_S1.5_sc,1,2.0,1.5,True,-0.005640875406572432,-0.013596289472619927,-0.41335932109744494,-0.013819246217160353,0.1,-0.5447142868068193,64,0.64
h8_L2.0_S1.5_sc,8,2.0,1.5,True,-0.02725237620189913,-0.06467954512706908,-0.4667502265514204,-0.053060424189098065,0.09,-2.438935338579923,42,0.42
h3_L2.0_S1.5_sc,3,2.0,1.5,True,-0.010567109040903855,-0.025380827423245544,-0.7480395497057053,-0.023546912429786904,0.15,-1.0390115129852961,51,0.51
h8_L2.0_S1.5_1x,8,2.0,1.5,False,-0.03026628205641546,-0.07167714802873049,-0.8714896334553599,-0.04896848817559463,0.09,-2.937098981783267,42,0.42
h1_L2.0_S1.5_1x,1,2.0,1.5,False,-0.007196843564129529,-0.01732745777667677,-1.028860939737016,-0.007832536853399574,0.09,-0.7164060711189687,65,0.65
h3_L2.0_S1.5_1x,3,2.0,1.5,False,-0.013356463536180474,-0.032016697540650396,-1.3981857030222538,-0.019872439082443627,0.14,-1.3335467114816226,51,0.51
h5_L1.0_S1.0_sc,5,1.0,1.0,True,-0.13400940539609263,-0.2940370908868635,-1.4942589249666174,-0.21943440673906545,0.29,-13.432341252771433,742,7.42
h8_L1.0_S1.0_sc,8,1.0,1.0,True,-0.12876282001596606,-0.28364204248707936,-1.5634469160539748,-0.22020730088441542,0.32,-12.958357821883062,558,5.58
h3_L1.0_S1.0_1x,3,1.0,1.0,False,-0.11186870620826372,-0.24956210166774906,-2.009535680476564,-0.10708397384862678,0.35,-11.467605911801117,1065,10.65
h2_L1.0_S1.0_1x,2,1.0,1.0,False,-0.11199616266510348,-0.24982269934479495,-2.2465564953584964,-0.1151709965748503,0.33,-11.555499537955003,1302,13.02
