label,hold,th_long_mult,th_short_mult,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
h1_L0.5_S1.5_1x,1,0.5,1.5,False,-0.17547676969393755,-5.885229313784072,-0.1709556030417203,0.3,-19.148621007890647,2252,22.52
h3_L1.0_S1.0_1x,3,1.0,1.0,False,-0.2827832601643735,-8.15126574039174,-0.2788508491678495,0.22,-32.98643548732219,913,9.13
h2_L1.0_S1.0_sc,2,1.0,1.0,True,-0.2688566325417362,-8.43766875770412,-0.2647006785472964,0.22,-31.102133220976043,998,9.98
h1_L1.0_S1.0_sc,1,1.0,1.0,True,-0.29926737699047423,-9.88137185224252,-0.29570809036812973,0.15,-35.34677232852073,1203,12.03
h2_L1.0_S1.0_1x,2,1.0,1.0,False,-0.2977970309006408,-13.350460696989751,-0.2941225375919262,0.16,-35.206810037401645,1003,10.03
h5_L1.5_S1.0_sc,5,1.5,1.0,True,-0.42959545135319244,-16.41991120537812,-0.42589171585400465,0.12,-55.84394727387705,436,4.36
h1_L0.5_S1.0_1x,1,0.5,1.0,False,-0.34329825698819294,-17.074936771227865,-0.33994069488840595,0.13,-41.8914961992222,2134,21.34
h1_L1.0_S1.0_1x,1,1.0,1.0,False,-0.3350522643046755,-17.717613229422966,-0.3315390049942334,0.1,-40.65809360406627,1228,12.28
h5_L1.5_S1.0_1x,5,1.5,1.0,False,-0.4248777096902987,-18.21159446309104,-0.421443282700797,0.11,-55.0540821081759,452,4.52
h1_L0.7_S1.0_1x,1,0.7,1.0,False,-0.3584539370229378,-21.60322956245751,-0.3548482363212899,0.08,-44.238408244707706,1768,17.68
h8_L1.5_S1.0_sc,8,1.5,1.0,True,-0.5172751582377323,-22.23525185983083,-0.5141272680471725,0.08,-72.43725070402851,311,3.11
h8_L1.5_S1.0_1x,8,1.5,1.0,False,-0.5063031632401418,-23.02331598347978,-0.503342395653742,0.09,-70.22185694641577,323,3.23
h1_L1.5_S1.0_sc,1,1.5,1.0,True,-0.3608409035490048,-24.748591970204213,-0.3572667377692723,0.05,-44.62084070334172,774,7.74
h2_L1.5_S1.0_sc,2,1.5,1.0,True,-0.40197749522752635,-25.08087715744228,-0.39857822481341576,0.11,-51.230106511873274,622,6.22
h3_L1.5_S1.0_sc,3,1.5,1.0,True,-0.4403520612715458,-25.229234638540117,-0.4374173518353419,0.05,-57.813128171975194,522,5.22
h3_L1.5_S1.0_1x,3,1.5,1.0,False,-0.4286104708995575,-27.185990012727196,-0.42509759343718667,0.05,-55.76117741987944,528,5.28
h2_L1.5_S1.0_1x,2,1.5,1.0,False,-0.39398201305550373,-29.84151388520572,-0.3908108372901201,0.07,-49.9253658796351,662,6.62
h1_L1.5_S1.0_1x,1,1.5,1.0,False,-0.3649566450813654,-35.72927839192657,-0.3616082621254757,0.02,-45.28377069158135,804,8.04
